,name,rating,reviews,company_type,headquarters,old,employees
262,Kotak Mahindra B...,3.8,(11.7k Reviews),Public,"Mumbai,Maharashtra + 500 more",20 years old,10k-50k Employees (India)
263,BYJU'S,3.2,(11.3k Reviews),Private,"Bangalore,Karnataka + 282 more",12 years old,1k-5k Employees (India)
264,Reliance Industr...,4.0,(11k Reviews),Public,"Navi Mumbai,Maharashtra + 557 more",50 years old,1 Lakh+ Employees (Global)
265,Bharti Airtel,4.1,(10.3k Reviews),Public,"Gurgaon/Gurugram,Haryana + 570 more",28 years old,10k-50k Employees (India)
266,Tata Motors,4.2,(9.6k Reviews),Public,"Pune,Maharashtra + 401 more",78 years old,50k-1 Lakh Employees (India)
267,Flipkart,4.1,(8.3k Reviews),Public,"Bangalore,Karnataka + 481 more",16 years old,10k-50k Employees (India)
268,WNS,3.6,(8k Reviews),Private,"Mumbai,Maharashtra + 25 more",27 years old,10k-50k Employees (India)
269,Ernst & Young,3.7,(8k Reviews),Private,London + 80 more,21 years old,10k-50k Employees (India)
270,TCS,3.8,(59.5k Reviews),Public,"Mumbai,Maharashtra + 276 more",55 years old,1 Lakh+ Employees (India)
271,Accenture,4.1,(38.1k Reviews),Public,Dublin + 139 more,34 years old,1 Lakh+ Employees (India)
272,Cognizant,3.9,(34.7k Reviews),Private,Teaneck. New Jersey. + 109 more,29 years old,1 Lakh+ Employees (India)
273,ICICI Bank,4.0,(28.4k Reviews),Public,"Mumbai,Maharashtra + 1150 more",29 years old,1 Lakh+ Employees (India)
274,Wipro,3.9,(28.1k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 235 more",78 years old,1 Lakh+ Employees (India)
275,HDFC Bank,3.9,(27.6k Reviews),Public,"Mumbai,Maharashtra + 1380 more",29 years old,1 Lakh+ Employees (India)
276,Infosys,3.9,(25.9k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 132 more",42 years old,1 Lakh+ Employees (India)
277,Capgemini,3.9,(24.3k Reviews),Public,Paris + 81 more,56 years old,1 Lakh+ Employees (India)
278,Tech Mahindra,3.7,(22.7k Reviews),Public,"Pune,Maharashtra + 221 more",37 years old,1 Lakh+ Employees (India)
279,Genpact,4.0,(22k Reviews),Public,"New York,New York + 75 more",26 years old,1 Lakh+ Employees (India)
280,HCLTech,3.8,(21.5k Reviews),Public,"Noida,Uttar Pradesh + 147 more",32 years old,1 Lakh+ Employees (India)
281,Axis Bank,3.9,(18.6k Reviews),Public,"Mumbai,Maharashtra + 1194 more",30 years old,50k-1 Lakh Employees (India)
282,Concentrix Corpo...,4.0,(17.4k Reviews),Public,"Fremont,California + 77 more",40 years old,10k-50k Employees (India)
