,name,rating,reviews,company_type,headquarters,old,employees
446,Tata Motors,4.2,(9.6k Reviews),Public,"Pune,Maharashtra + 401 more",78 years old,50k-1 Lakh Employees (India)
447,Flipkart,4.1,(8.3k Reviews),Public,"Bangalore,Karnataka + 481 more",16 years old,10k-50k Employees (India)
448,WNS,3.6,(8k Reviews),Private,"Mumbai,Maharashtra + 25 more",27 years old,10k-50k Employees (India)
449,Ernst & Young,3.7,(8k Reviews),Private,London + 80 more,21 years old,10k-50k Employees (India)
450,TCS,3.8,(59.5k Reviews),Public,"Mumbai,Maharashtra + 276 more",55 years old,1 Lakh+ Employees (India)
451,Accenture,4.1,(38.1k Reviews),Public,Dublin + 139 more,34 years old,1 Lakh+ Employees (India)
452,Cognizant,3.9,(34.7k Reviews),Private,Teaneck. New Jersey. + 109 more,29 years old,1 Lakh+ Employees (India)
453,ICICI Bank,4.0,(28.4k Reviews),Public,"Mumbai,Maharashtra + 1150 more",29 years old,1 Lakh+ Employees (India)
454,Wipro,3.9,(28.1k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 235 more",78 years old,1 Lakh+ Employees (India)
455,HDFC Bank,3.9,(27.6k Reviews),Public,"Mumbai,Maharashtra + 1380 more",29 years old,1 Lakh+ Employees (India)
456,Infosys,3.9,(25.9k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 132 more",42 years old,1 Lakh+ Employees (India)
457,Capgemini,3.9,(24.3k Reviews),Public,Paris + 81 more,56 years old,1 Lakh+ Employees (India)
458,Tech Mahindra,3.7,(22.7k Reviews),Public,"Pune,Maharashtra + 221 more",37 years old,1 Lakh+ Employees (India)
459,Genpact,4.0,(22k Reviews),Public,"New York,New York + 75 more",26 years old,1 Lakh+ Employees (India)
460,HCLTech,3.8,(21.5k Reviews),Public,"Noida,Uttar Pradesh + 147 more",32 years old,1 Lakh+ Employees (India)
461,Axis Bank,3.9,(18.6k Reviews),Public,"Mumbai,Maharashtra + 1194 more",30 years old,50k-1 Lakh Employees (India)
462,Concentrix Corpo...,4.0,(17.4k Reviews),Public,"Fremont,California + 77 more",40 years old,10k-50k Employees (India)
463,IBM,4.1,(17.3k Reviews),Public,"Armonk,New York + 127 more",112 years old,50k-1 Lakh Employees (India)
464,Reliance Jio,4.0,(16.8k Reviews),Public,"Navi Mumbai,Maharashtra + 1056 more",16 years old,50k-1 Lakh Employees (India)
465,Amazon,4.2,(16.6k Reviews),Public,"Seattle,Washington + 381 more",29 years old,1 Lakh+ Employees (India)
466,Larsen & Toubro ...,4.0,(16k Reviews),Public,"Mumbai,Maharashtra + 558 more",85 years old,1 Lakh+ Employees (India)
467,HDB Financial Se...,4.0,(15.1k Reviews),Private,"Ahmedabad,Gujrat + 859 more",16 years old,10k-50k Employees (India)
468,Reliance Retail,4.0,(14.1k Reviews),Private,"Navi Mumbai,Maharashtra + 830 more",17 years old,1 Lakh+ Employees (India)
469,Vodafone Idea,4.2,(13.9k Reviews),Public,"Gandhinagar,Gujrat + 589 more",5 years old,10k-50k Employees (India)
470,Teleperformance,3.6,(13.9k Reviews),Private,Paris + 127 more,45 years old,10k-50k Employees (India)
471,Deloitte,4.0,(11.7k Reviews),Private,"London,United Kingdom + 138 more",178 years old,50k-1 Lakh Employees (India)
472,Kotak Mahindra B...,3.8,(11.7k Reviews),Public,"Mumbai,Maharashtra + 500 more",20 years old,10k-50k Employees (India)
473,BYJU'S,3.2,(11.3k Reviews),Private,"Bangalore,Karnataka + 282 more",12 years old,1k-5k Employees (India)
474,Reliance Industr...,4.0,(11k Reviews),Public,"Navi Mumbai,Maharashtra + 557 more",50 years old,1 Lakh+ Employees (Global)
475,Bharti Airtel,4.1,(10.3k Reviews),Public,"Gurgaon/Gurugram,Haryana + 570 more",28 years old,10k-50k Employees (India)
476,Tata Motors,4.2,(9.6k Reviews),Public,"Pune,Maharashtra + 401 more",78 years old,50k-1 Lakh Employees (India)
477,Flipkart,4.1,(8.3k Reviews),Public,"Bangalore,Karnataka + 481 more",16 years old,10k-50k Employees (India)
478,WNS,3.6,(8k Reviews),Private,"Mumbai,Maharashtra + 25 more",27 years old,10k-50k Employees (India)
479,Ernst & Young,3.7,(8k Reviews),Private,London + 80 more,21 years old,10k-50k Employees (India)
480,TCS,3.8,(59.5k Reviews),Public,"Mumbai,Maharashtra + 276 more",55 years old,1 Lakh+ Employees (India)
481,Accenture,4.1,(38.1k Reviews),Public,Dublin + 139 more,34 years old,1 Lakh+ Employees (India)
482,Cognizant,3.9,(34.7k Reviews),Private,Teaneck. New Jersey. + 109 more,29 years old,1 Lakh+ Employees (India)
483,ICICI Bank,4.0,(28.4k Reviews),Public,"Mumbai,Maharashtra + 1150 more",29 years old,1 Lakh+ Employees (India)
484,Wipro,3.9,(28.1k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 235 more",78 years old,1 Lakh+ Employees (India)
485,HDFC Bank,3.9,(27.6k Reviews),Public,"Mumbai,Maharashtra + 1380 more",29 years old,1 Lakh+ Employees (India)
486,Infosys,3.9,(25.9k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 132 more",42 years old,1 Lakh+ Employees (India)
487,Capgemini,3.9,(24.3k Reviews),Public,Paris + 81 more,56 years old,1 Lakh+ Employees (India)
488,Tech Mahindra,3.7,(22.7k Reviews),Public,"Pune,Maharashtra + 221 more",37 years old,1 Lakh+ Employees (India)
489,Genpact,4.0,(22k Reviews),Public,"New York,New York + 75 more",26 years old,1 Lakh+ Employees (India)
490,HCLTech,3.8,(21.5k Reviews),Public,"Noida,Uttar Pradesh + 147 more",32 years old,1 Lakh+ Employees (India)
491,Axis Bank,3.9,(18.6k Reviews),Public,"Mumbai,Maharashtra + 1194 more",30 years old,50k-1 Lakh Employees (India)
492,Concentrix Corpo...,4.0,(17.4k Reviews),Public,"Fremont,California + 77 more",40 years old,10k-50k Employees (India)
493,IBM,4.1,(17.3k Reviews),Public,"Armonk,New York + 127 more",112 years old,50k-1 Lakh Employees (India)
494,Reliance Jio,4.0,(16.8k Reviews),Public,"Navi Mumbai,Maharashtra + 1056 more",16 years old,50k-1 Lakh Employees (India)
495,Amazon,4.2,(16.6k Reviews),Public,"Seattle,Washington + 381 more",29 years old,1 Lakh+ Employees (India)
496,Larsen & Toubro ...,4.0,(16k Reviews),Public,"Mumbai,Maharashtra + 558 more",85 years old,1 Lakh+ Employees (India)
497,HDB Financial Se...,4.0,(15.1k Reviews),Private,"Ahmedabad,Gujrat + 859 more",16 years old,10k-50k Employees (India)
498,Reliance Retail,4.0,(14.1k Reviews),Private,"Navi Mumbai,Maharashtra + 830 more",17 years old,1 Lakh+ Employees (India)
499,Vodafone Idea,4.2,(13.9k Reviews),Public,"Gandhinagar,Gujrat + 589 more",5 years old,10k-50k Employees (India)
500,Teleperformance,3.6,(13.9k Reviews),Private,Paris + 127 more,45 years old,10k-50k Employees (India)
501,Deloitte,4.0,(11.7k Reviews),Private,"London,United Kingdom + 138 more",178 years old,50k-1 Lakh Employees (India)
502,Kotak Mahindra B...,3.8,(11.7k Reviews),Public,"Mumbai,Maharashtra + 500 more",20 years old,10k-50k Employees (India)
503,BYJU'S,3.2,(11.3k Reviews),Private,"Bangalore,Karnataka + 282 more",12 years old,1k-5k Employees (India)
504,Reliance Industr...,4.0,(11k Reviews),Public,"Navi Mumbai,Maharashtra + 557 more",50 years old,1 Lakh+ Employees (Global)
505,Bharti Airtel,4.1,(10.3k Reviews),Public,"Gurgaon/Gurugram,Haryana + 570 more",28 years old,10k-50k Employees (India)
506,Tata Motors,4.2,(9.6k Reviews),Public,"Pune,Maharashtra + 401 more",78 years old,50k-1 Lakh Employees (India)
507,Flipkart,4.1,(8.3k Reviews),Public,"Bangalore,Karnataka + 481 more",16 years old,10k-50k Employees (India)
508,WNS,3.6,(8k Reviews),Private,"Mumbai,Maharashtra + 25 more",27 years old,10k-50k Employees (India)
509,Ernst & Young,3.7,(8k Reviews),Private,London + 80 more,21 years old,10k-50k Employees (India)
510,TCS,3.8,(59.5k Reviews),Public,"Mumbai,Maharashtra + 276 more",55 years old,1 Lakh+ Employees (India)
511,Accenture,4.1,(38.1k Reviews),Public,Dublin + 139 more,34 years old,1 Lakh+ Employees (India)
512,Cognizant,3.9,(34.7k Reviews),Private,Teaneck. New Jersey. + 109 more,29 years old,1 Lakh+ Employees (India)
513,ICICI Bank,4.0,(28.4k Reviews),Public,"Mumbai,Maharashtra + 1150 more",29 years old,1 Lakh+ Employees (India)
514,Wipro,3.9,(28.1k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 235 more",78 years old,1 Lakh+ Employees (India)
515,HDFC Bank,3.9,(27.6k Reviews),Public,"Mumbai,Maharashtra + 1380 more",29 years old,1 Lakh+ Employees (India)
516,Infosys,3.9,(25.9k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 132 more",42 years old,1 Lakh+ Employees (India)
517,Capgemini,3.9,(24.3k Reviews),Public,Paris + 81 more,56 years old,1 Lakh+ Employees (India)
518,Tech Mahindra,3.7,(22.7k Reviews),Public,"Pune,Maharashtra + 221 more",37 years old,1 Lakh+ Employees (India)
519,Genpact,4.0,(22k Reviews),Public,"New York,New York + 75 more",26 years old,1 Lakh+ Employees (India)
520,HCLTech,3.8,(21.5k Reviews),Public,"Noida,Uttar Pradesh + 147 more",32 years old,1 Lakh+ Employees (India)
521,Axis Bank,3.9,(18.6k Reviews),Public,"Mumbai,Maharashtra + 1194 more",30 years old,50k-1 Lakh Employees (India)
522,Concentrix Corpo...,4.0,(17.4k Reviews),Public,"Fremont,California + 77 more",40 years old,10k-50k Employees (India)
523,IBM,4.1,(17.3k Reviews),Public,"Armonk,New York + 127 more",112 years old,50k-1 Lakh Employees (India)
524,Reliance Jio,4.0,(16.8k Reviews),Public,"Navi Mumbai,Maharashtra + 1056 more",16 years old,50k-1 Lakh Employees (India)
525,Amazon,4.2,(16.6k Reviews),Public,"Seattle,Washington + 381 more",29 years old,1 Lakh+ Employees (India)
526,Larsen & Toubro ...,4.0,(16k Reviews),Public,"Mumbai,Maharashtra + 558 more",85 years old,1 Lakh+ Employees (India)
527,HDB Financial Se...,4.0,(15.1k Reviews),Private,"Ahmedabad,Gujrat + 859 more",16 years old,10k-50k Employees (India)
528,Reliance Retail,4.0,(14.1k Reviews),Private,"Navi Mumbai,Maharashtra + 830 more",17 years old,1 Lakh+ Employees (India)
529,Vodafone Idea,4.2,(13.9k Reviews),Public,"Gandhinagar,Gujrat + 589 more",5 years old,10k-50k Employees (India)
530,Teleperformance,3.6,(13.9k Reviews),Private,Paris + 127 more,45 years old,10k-50k Employees (India)
531,Deloitte,4.0,(11.7k Reviews),Private,"London,United Kingdom + 138 more",178 years old,50k-1 Lakh Employees (India)
532,Kotak Mahindra B...,3.8,(11.7k Reviews),Public,"Mumbai,Maharashtra + 500 more",20 years old,10k-50k Employees (India)
533,BYJU'S,3.2,(11.3k Reviews),Private,"Bangalore,Karnataka + 282 more",12 years old,1k-5k Employees (India)
534,Reliance Industr...,4.0,(11k Reviews),Public,"Navi Mumbai,Maharashtra + 557 more",50 years old,1 Lakh+ Employees (Global)
535,Bharti Airtel,4.1,(10.3k Reviews),Public,"Gurgaon/Gurugram,Haryana + 570 more",28 years old,10k-50k Employees (India)
536,Tata Motors,4.2,(9.6k Reviews),Public,"Pune,Maharashtra + 401 more",78 years old,50k-1 Lakh Employees (India)
537,Flipkart,4.1,(8.3k Reviews),Public,"Bangalore,Karnataka + 481 more",16 years old,10k-50k Employees (India)
538,WNS,3.6,(8k Reviews),Private,"Mumbai,Maharashtra + 25 more",27 years old,10k-50k Employees (India)
539,Ernst & Young,3.7,(8k Reviews),Private,London + 80 more,21 years old,10k-50k Employees (India)
540,TCS,3.8,(59.5k Reviews),Public,"Mumbai,Maharashtra + 276 more",55 years old,1 Lakh+ Employees (India)
541,Accenture,4.1,(38.1k Reviews),Public,Dublin + 139 more,34 years old,1 Lakh+ Employees (India)
542,Cognizant,3.9,(34.7k Reviews),Private,Teaneck. New Jersey. + 109 more,29 years old,1 Lakh+ Employees (India)
543,ICICI Bank,4.0,(28.4k Reviews),Public,"Mumbai,Maharashtra + 1150 more",29 years old,1 Lakh+ Employees (India)
544,Wipro,3.9,(28.1k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 235 more",78 years old,1 Lakh+ Employees (India)
545,HDFC Bank,3.9,(27.6k Reviews),Public,"Mumbai,Maharashtra + 1380 more",29 years old,1 Lakh+ Employees (India)
546,Infosys,3.9,(25.9k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 132 more",42 years old,1 Lakh+ Employees (India)
547,Capgemini,3.9,(24.3k Reviews),Public,Paris + 81 more,56 years old,1 Lakh+ Employees (India)
548,Tech Mahindra,3.7,(22.7k Reviews),Public,"Pune,Maharashtra + 221 more",37 years old,1 Lakh+ Employees (India)
549,Genpact,4.0,(22k Reviews),Public,"New York,New York + 75 more",26 years old,1 Lakh+ Employees (India)
550,HCLTech,3.8,(21.5k Reviews),Public,"Noida,Uttar Pradesh + 147 more",32 years old,1 Lakh+ Employees (India)
551,Axis Bank,3.9,(18.6k Reviews),Public,"Mumbai,Maharashtra + 1194 more",30 years old,50k-1 Lakh Employees (India)
552,Concentrix Corpo...,4.0,(17.4k Reviews),Public,"Fremont,California + 77 more",40 years old,10k-50k Employees (India)
553,IBM,4.1,(17.3k Reviews),Public,"Armonk,New York + 127 more",112 years old,50k-1 Lakh Employees (India)
554,Reliance Jio,4.0,(16.8k Reviews),Public,"Navi Mumbai,Maharashtra + 1056 more",16 years old,50k-1 Lakh Employees (India)
555,Amazon,4.2,(16.6k Reviews),Public,"Seattle,Washington + 381 more",29 years old,1 Lakh+ Employees (India)
556,Larsen & Toubro ...,4.0,(16k Reviews),Public,"Mumbai,Maharashtra + 558 more",85 years old,1 Lakh+ Employees (India)
557,HDB Financial Se...,4.0,(15.1k Reviews),Private,"Ahmedabad,Gujrat + 859 more",16 years old,10k-50k Employees (India)
558,Reliance Retail,4.0,(14.1k Reviews),Private,"Navi Mumbai,Maharashtra + 830 more",17 years old,1 Lakh+ Employees (India)
559,Vodafone Idea,4.2,(13.9k Reviews),Public,"Gandhinagar,Gujrat + 589 more",5 years old,10k-50k Employees (India)
560,Teleperformance,3.6,(13.9k Reviews),Private,Paris + 127 more,45 years old,10k-50k Employees (India)
561,Deloitte,4.0,(11.7k Reviews),Private,"London,United Kingdom + 138 more",178 years old,50k-1 Lakh Employees (India)
562,Kotak Mahindra B...,3.8,(11.7k Reviews),Public,"Mumbai,Maharashtra + 500 more",20 years old,10k-50k Employees (India)
563,BYJU'S,3.2,(11.3k Reviews),Private,"Bangalore,Karnataka + 282 more",12 years old,1k-5k Employees (India)
564,Reliance Industr...,4.0,(11k Reviews),Public,"Navi Mumbai,Maharashtra + 557 more",50 years old,1 Lakh+ Employees (Global)
565,Bharti Airtel,4.1,(10.3k Reviews),Public,"Gurgaon/Gurugram,Haryana + 570 more",28 years old,10k-50k Employees (India)
566,Tata Motors,4.2,(9.6k Reviews),Public,"Pune,Maharashtra + 401 more",78 years old,50k-1 Lakh Employees (India)
567,Flipkart,4.1,(8.3k Reviews),Public,"Bangalore,Karnataka + 481 more",16 years old,10k-50k Employees (India)
568,WNS,3.6,(8k Reviews),Private,"Mumbai,Maharashtra + 25 more",27 years old,10k-50k Employees (India)
569,Ernst & Young,3.7,(8k Reviews),Private,London + 80 more,21 years old,10k-50k Employees (India)
570,TCS,3.8,(59.5k Reviews),Public,"Mumbai,Maharashtra + 276 more",55 years old,1 Lakh+ Employees (India)
571,Accenture,4.1,(38.1k Reviews),Public,Dublin + 139 more,34 years old,1 Lakh+ Employees (India)
572,Cognizant,3.9,(34.7k Reviews),Private,Teaneck. New Jersey. + 109 more,29 years old,1 Lakh+ Employees (India)
573,ICICI Bank,4.0,(28.4k Reviews),Public,"Mumbai,Maharashtra + 1150 more",29 years old,1 Lakh+ Employees (India)
574,Wipro,3.9,(28.1k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 235 more",78 years old,1 Lakh+ Employees (India)
575,HDFC Bank,3.9,(27.6k Reviews),Public,"Mumbai,Maharashtra + 1380 more",29 years old,1 Lakh+ Employees (India)
576,Infosys,3.9,(25.9k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 132 more",42 years old,1 Lakh+ Employees (India)
577,Capgemini,3.9,(24.3k Reviews),Public,Paris + 81 more,56 years old,1 Lakh+ Employees (India)
578,Tech Mahindra,3.7,(22.7k Reviews),Public,"Pune,Maharashtra + 221 more",37 years old,1 Lakh+ Employees (India)
579,Genpact,4.0,(22k Reviews),Public,"New York,New York + 75 more",26 years old,1 Lakh+ Employees (India)
580,HCLTech,3.8,(21.5k Reviews),Public,"Noida,Uttar Pradesh + 147 more",32 years old,1 Lakh+ Employees (India)
581,Axis Bank,3.9,(18.6k Reviews),Public,"Mumbai,Maharashtra + 1194 more",30 years old,50k-1 Lakh Employees (India)
582,Concentrix Corpo...,4.0,(17.4k Reviews),Public,"Fremont,California + 77 more",40 years old,10k-50k Employees (India)
583,IBM,4.1,(17.3k Reviews),Public,"Armonk,New York + 127 more",112 years old,50k-1 Lakh Employees (India)
584,Reliance Jio,4.0,(16.8k Reviews),Public,"Navi Mumbai,Maharashtra + 1056 more",16 years old,50k-1 Lakh Employees (India)
585,Amazon,4.2,(16.6k Reviews),Public,"Seattle,Washington + 381 more",29 years old,1 Lakh+ Employees (India)
586,Larsen & Toubro ...,4.0,(16k Reviews),Public,"Mumbai,Maharashtra + 558 more",85 years old,1 Lakh+ Employees (India)
587,HDB Financial Se...,4.0,(15.1k Reviews),Private,"Ahmedabad,Gujrat + 859 more",16 years old,10k-50k Employees (India)
588,Reliance Retail,4.0,(14.1k Reviews),Private,"Navi Mumbai,Maharashtra + 830 more",17 years old,1 Lakh+ Employees (India)
589,Vodafone Idea,4.2,(13.9k Reviews),Public,"Gandhinagar,Gujrat + 589 more",5 years old,10k-50k Employees (India)
590,Teleperformance,3.6,(13.9k Reviews),Private,Paris + 127 more,45 years old,10k-50k Employees (India)
591,Deloitte,4.0,(11.7k Reviews),Private,"London,United Kingdom + 138 more",178 years old,50k-1 Lakh Employees (India)
592,Kotak Mahindra B...,3.8,(11.7k Reviews),Public,"Mumbai,Maharashtra + 500 more",20 years old,10k-50k Employees (India)
593,BYJU'S,3.2,(11.3k Reviews),Private,"Bangalore,Karnataka + 282 more",12 years old,1k-5k Employees (India)
594,Reliance Industr...,4.0,(11k Reviews),Public,"Navi Mumbai,Maharashtra + 557 more",50 years old,1 Lakh+ Employees (Global)
595,Bharti Airtel,4.1,(10.3k Reviews),Public,"Gurgaon/Gurugram,Haryana + 570 more",28 years old,10k-50k Employees (India)
596,Tata Motors,4.2,(9.6k Reviews),Public,"Pune,Maharashtra + 401 more",78 years old,50k-1 Lakh Employees (India)
597,Flipkart,4.1,(8.3k Reviews),Public,"Bangalore,Karnataka + 481 more",16 years old,10k-50k Employees (India)
598,WNS,3.6,(8k Reviews),Private,"Mumbai,Maharashtra + 25 more",27 years old,10k-50k Employees (India)
599,Ernst & Young,3.7,(8k Reviews),Private,London + 80 more,21 years old,10k-50k Employees (India)
600,TCS,3.8,(59.5k Reviews),Public,"Mumbai,Maharashtra + 276 more",55 years old,1 Lakh+ Employees (India)
601,Accenture,4.1,(38.1k Reviews),Public,Dublin + 139 more,34 years old,1 Lakh+ Employees (India)
602,Cognizant,3.9,(34.7k Reviews),Private,Teaneck. New Jersey. + 109 more,29 years old,1 Lakh+ Employees (India)
603,ICICI Bank,4.0,(28.4k Reviews),Public,"Mumbai,Maharashtra + 1150 more",29 years old,1 Lakh+ Employees (India)
604,Wipro,3.9,(28.1k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 235 more",78 years old,1 Lakh+ Employees (India)
605,HDFC Bank,3.9,(27.6k Reviews),Public,"Mumbai,Maharashtra + 1380 more",29 years old,1 Lakh+ Employees (India)
606,Infosys,3.9,(25.9k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 132 more",42 years old,1 Lakh+ Employees (India)
607,Capgemini,3.9,(24.3k Reviews),Public,Paris + 81 more,56 years old,1 Lakh+ Employees (India)
608,Tech Mahindra,3.7,(22.7k Reviews),Public,"Pune,Maharashtra + 221 more",37 years old,1 Lakh+ Employees (India)
609,Genpact,4.0,(22k Reviews),Public,"New York,New York + 75 more",26 years old,1 Lakh+ Employees (India)
610,HCLTech,3.8,(21.5k Reviews),Public,"Noida,Uttar Pradesh + 147 more",32 years old,1 Lakh+ Employees (India)
611,Axis Bank,3.9,(18.6k Reviews),Public,"Mumbai,Maharashtra + 1194 more",30 years old,50k-1 Lakh Employees (India)
612,Concentrix Corpo...,4.0,(17.4k Reviews),Public,"Fremont,California + 77 more",40 years old,10k-50k Employees (India)
613,IBM,4.1,(17.3k Reviews),Public,"Armonk,New York + 127 more",112 years old,50k-1 Lakh Employees (India)
614,Reliance Jio,4.0,(16.8k Reviews),Public,"Navi Mumbai,Maharashtra + 1056 more",16 years old,50k-1 Lakh Employees (India)
615,Amazon,4.2,(16.6k Reviews),Public,"Seattle,Washington + 381 more",29 years old,1 Lakh+ Employees (India)
616,Larsen & Toubro ...,4.0,(16k Reviews),Public,"Mumbai,Maharashtra + 558 more",85 years old,1 Lakh+ Employees (India)
617,HDB Financial Se...,4.0,(15.1k Reviews),Private,"Ahmedabad,Gujrat + 859 more",16 years old,10k-50k Employees (India)
618,Reliance Retail,4.0,(14.1k Reviews),Private,"Navi Mumbai,Maharashtra + 830 more",17 years old,1 Lakh+ Employees (India)
619,Vodafone Idea,4.2,(13.9k Reviews),Public,"Gandhinagar,Gujrat + 589 more",5 years old,10k-50k Employees (India)
620,Teleperformance,3.6,(13.9k Reviews),Private,Paris + 127 more,45 years old,10k-50k Employees (India)
621,Deloitte,4.0,(11.7k Reviews),Private,"London,United Kingdom + 138 more",178 years old,50k-1 Lakh Employees (India)
622,Kotak Mahindra B...,3.8,(11.7k Reviews),Public,"Mumbai,Maharashtra + 500 more",20 years old,10k-50k Employees (India)
623,BYJU'S,3.2,(11.3k Reviews),Private,"Bangalore,Karnataka + 282 more",12 years old,1k-5k Employees (India)
624,Reliance Industr...,4.0,(11k Reviews),Public,"Navi Mumbai,Maharashtra + 557 more",50 years old,1 Lakh+ Employees (Global)
625,Bharti Airtel,4.1,(10.3k Reviews),Public,"Gurgaon/Gurugram,Haryana + 570 more",28 years old,10k-50k Employees (India)
626,Tata Motors,4.2,(9.6k Reviews),Public,"Pune,Maharashtra + 401 more",78 years old,50k-1 Lakh Employees (India)
627,Flipkart,4.1,(8.3k Reviews),Public,"Bangalore,Karnataka + 481 more",16 years old,10k-50k Employees (India)
628,WNS,3.6,(8k Reviews),Private,"Mumbai,Maharashtra + 25 more",27 years old,10k-50k Employees (India)
629,Ernst & Young,3.7,(8k Reviews),Private,London + 80 more,21 years old,10k-50k Employees (India)
630,TCS,3.8,(59.5k Reviews),Public,"Mumbai,Maharashtra + 276 more",55 years old,1 Lakh+ Employees (India)
631,Accenture,4.1,(38.1k Reviews),Public,Dublin + 139 more,34 years old,1 Lakh+ Employees (India)
632,Cognizant,3.9,(34.7k Reviews),Private,Teaneck. New Jersey. + 109 more,29 years old,1 Lakh+ Employees (India)
633,ICICI Bank,4.0,(28.4k Reviews),Public,"Mumbai,Maharashtra + 1150 more",29 years old,1 Lakh+ Employees (India)
634,Wipro,3.9,(28.1k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 235 more",78 years old,1 Lakh+ Employees (India)
635,HDFC Bank,3.9,(27.6k Reviews),Public,"Mumbai,Maharashtra + 1380 more",29 years old,1 Lakh+ Employees (India)
636,Infosys,3.9,(25.9k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 132 more",42 years old,1 Lakh+ Employees (India)
637,Capgemini,3.9,(24.3k Reviews),Public,Paris + 81 more,56 years old,1 Lakh+ Employees (India)
638,Tech Mahindra,3.7,(22.7k Reviews),Public,"Pune,Maharashtra + 221 more",37 years old,1 Lakh+ Employees (India)
639,Genpact,4.0,(22k Reviews),Public,"New York,New York + 75 more",26 years old,1 Lakh+ Employees (India)
640,HCLTech,3.8,(21.5k Reviews),Public,"Noida,Uttar Pradesh + 147 more",32 years old,1 Lakh+ Employees (India)
641,Axis Bank,3.9,(18.6k Reviews),Public,"Mumbai,Maharashtra + 1194 more",30 years old,50k-1 Lakh Employees (India)
642,Concentrix Corpo...,4.0,(17.4k Reviews),Public,"Fremont,California + 77 more",40 years old,10k-50k Employees (India)
643,IBM,4.1,(17.3k Reviews),Public,"Armonk,New York + 127 more",112 years old,50k-1 Lakh Employees (India)
644,Reliance Jio,4.0,(16.8k Reviews),Public,"Navi Mumbai,Maharashtra + 1056 more",16 years old,50k-1 Lakh Employees (India)
645,Amazon,4.2,(16.6k Reviews),Public,"Seattle,Washington + 381 more",29 years old,1 Lakh+ Employees (India)
646,Larsen & Toubro ...,4.0,(16k Reviews),Public,"Mumbai,Maharashtra + 558 more",85 years old,1 Lakh+ Employees (India)
647,HDB Financial Se...,4.0,(15.1k Reviews),Private,"Ahmedabad,Gujrat + 859 more",16 years old,10k-50k Employees (India)
648,Reliance Retail,4.0,(14.1k Reviews),Private,"Navi Mumbai,Maharashtra + 830 more",17 years old,1 Lakh+ Employees (India)
649,Vodafone Idea,4.2,(13.9k Reviews),Public,"Gandhinagar,Gujrat + 589 more",5 years old,10k-50k Employees (India)
650,Teleperformance,3.6,(13.9k Reviews),Private,Paris + 127 more,45 years old,10k-50k Employees (India)
651,Deloitte,4.0,(11.7k Reviews),Private,"London,United Kingdom + 138 more",178 years old,50k-1 Lakh Employees (India)
652,Kotak Mahindra B...,3.8,(11.7k Reviews),Public,"Mumbai,Maharashtra + 500 more",20 years old,10k-50k Employees (India)
653,BYJU'S,3.2,(11.3k Reviews),Private,"Bangalore,Karnataka + 282 more",12 years old,1k-5k Employees (India)
654,Reliance Industr...,4.0,(11k Reviews),Public,"Navi Mumbai,Maharashtra + 557 more",50 years old,1 Lakh+ Employees (Global)
655,Bharti Airtel,4.1,(10.3k Reviews),Public,"Gurgaon/Gurugram,Haryana + 570 more",28 years old,10k-50k Employees (India)
656,Tata Motors,4.2,(9.6k Reviews),Public,"Pune,Maharashtra + 401 more",78 years old,50k-1 Lakh Employees (India)
657,Flipkart,4.1,(8.3k Reviews),Public,"Bangalore,Karnataka + 481 more",16 years old,10k-50k Employees (India)
658,WNS,3.6,(8k Reviews),Private,"Mumbai,Maharashtra + 25 more",27 years old,10k-50k Employees (India)
659,Ernst & Young,3.7,(8k Reviews),Private,London + 80 more,21 years old,10k-50k Employees (India)
660,TCS,3.8,(59.5k Reviews),Public,"Mumbai,Maharashtra + 276 more",55 years old,1 Lakh+ Employees (India)
661,Accenture,4.1,(38.1k Reviews),Public,Dublin + 139 more,34 years old,1 Lakh+ Employees (India)
662,Cognizant,3.9,(34.7k Reviews),Private,Teaneck. New Jersey. + 109 more,29 years old,1 Lakh+ Employees (India)
663,ICICI Bank,4.0,(28.4k Reviews),Public,"Mumbai,Maharashtra + 1150 more",29 years old,1 Lakh+ Employees (India)
664,Wipro,3.9,(28.1k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 235 more",78 years old,1 Lakh+ Employees (India)
665,HDFC Bank,3.9,(27.6k Reviews),Public,"Mumbai,Maharashtra + 1380 more",29 years old,1 Lakh+ Employees (India)
666,Infosys,3.9,(25.9k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 132 more",42 years old,1 Lakh+ Employees (India)
667,Capgemini,3.9,(24.3k Reviews),Public,Paris + 81 more,56 years old,1 Lakh+ Employees (India)
668,Tech Mahindra,3.7,(22.7k Reviews),Public,"Pune,Maharashtra + 221 more",37 years old,1 Lakh+ Employees (India)
